EPCI;EPCI_EPT;EPCI_EPTinc;EPCIlibFull;EPCIlibFullNCC;EPCIlibShort;EPCIlibShortNCC;TYPE_EPCI;TYPE_EPCIlib;METRoff;DENSEPCI;DENSEPCIlib;REG_dom;DEP_dom;DEPshort_dom;regdep
247000714;247000714;0;Communauté de communes du Pays de Villersexel;COMMUNAUTE DE COMMUNES DU PAYS DE VILLERSEXEL;CC du Pays de Villersexel;CC DU PAYS DE VILLERSEXEL;CC;Communauté de communes;0;3;Rural;27;70;70-HSa;BFC/70-HSa
247000722;247000722;0;Communauté de communes du Pays d'Héricourt;COMMUNAUTE DE COMMUNES DU PAYS D HERICOURT;CC du Pays d'Héricourt;CC DU PAYS D'HERICOURT;CC;Communauté de communes;0;3;Rural;27;70;70-HSa;BFC/70-HSa
247000755;247000755;0;Communauté de communes du Pays de Luxeuil;COMMUNAUTE DE COMMUNES DU PAYS DE LUXEUIL;CC du Pays de Luxeuil;CC DU PAYS DE LUXEUIL;CC;Communauté de communes;0;2;Urbain intermédiaire;27;70;70-HSa;BFC/70-HSa
247000821;247000821;0;Communauté de communes Rahin et Chérimont;COMMUNAUTE DE COMMUNES RAHIN ET CHERIMONT;CC Rahin et Chérimont;CC RAHIN ET CHERIMONT;CC;Communauté de communes;0;3;Rural;27;70;70-HSa;BFC/70-HSa
247000854;247000854;0;Communauté de communes des 1000 étangs;COMMUNAUTE DE COMMUNES DES 1000 ETANGS;CC des 1000 étangs;CC DES 1000 ETANGS;CC;Communauté de communes;0;3;Rural;27;70;70-HSa;BFC/70-HSa
247100290;247100290;0;Communauté urbaine Le Creusot Montceau-les-Mines;COMMUNAUTE URBAINE LE CREUSOT MONTCEAU LES MINES;CU Le Creusot Montceau-les-Mines;CU LE CREUSOT MONTCEAU-LES-MINES;CU;Communauté urbaine;0;2;Urbain intermédiaire;27;71;71-SeL;BFC/71-SeL
247100589;247100589;0;Communauté d'agglomération Le Grand Chalon;COMMUNAUTE D AGGLOMERATION LE GRAND CHALON;CA Le Grand Chalon;CA LE GRAND CHALON;CA;Communauté d'agglomération;0;2;Urbain intermédiaire;27;71;71-SeL;BFC/71-SeL
247100639;247100639;0;Communauté de communes de Marcigny;COMMUNAUTE DE COMMUNES DE MARCIGNY;CC de Marcigny;CC DE MARCIGNY;CC;Communauté de communes;0;3;Rural;27;71;71-SeL;BFC/71-SeL
247100647;247100647;0;Communauté de communes Bresse Nord Intercom';COMMUNAUTE DE COMMUNES BRESSE NORD INTERCOM;CC Bresse Nord Intercom';CC BRESSE NORD INTERCOM';CC;Communauté de communes;0;3;Rural;27;71;71-SeL;BFC/71-SeL
247103765;247103765;0;Communauté de communes Entre Saône et Grosne;COMMUNAUTE DE COMMUNES ENTRE SAONE ET GROSNE;CC Entre Saône et Grosne;CC ENTRE SAONE ET GROSNE;CC;Communauté de communes;0;3;Rural;27;71;71-SeL;BFC/71-SeL
