"AAV2020";"AAV2020lib";"AAV2020libNCC";"TAAV2017";"TAAV2017lib";"TAAV2017libNCC";"TDAAV2017";"TDAAV2017lib";"TDAAV2017libNCC";"NB_COM";"dens3";"REG_dom";"DEP_dom";"DEPshort_dom";"regdep"
"155";"Ancenis-Saint-Géréon";"ANCENIS SAINT GEREON";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";12;3;"52";"44";"44-LoA";"PDL/44-LoA"
"156";"Auchel - Lillers";"AUCHEL LILLERS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";29;2;"32";"62";"62-PdC";"HDF/62-PdC"
"157";"Épernay";"EPERNAY";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";44;2;"44";"51";"51-Mar";"GES/51-Mar"
"158";"Sélestat";"SELESTAT";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";37;3;"44";"67";"67-BRh";"GES/67-BRh"
"159";"Libourne";"LIBOURNE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";24;2;"75";"33";"33-Gir";"NAQ/33-Gir"
"160";"Chaumont";"CHAUMONT";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";112;3;"44";"52";"52-HMa";"GES/52-HMa"
"161";"Annonay";"ANNONAY";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";37;3;"84";"07";"07-Ard";"ARA/07-Ard"
"162";"Lisieux";"LISIEUX";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";57;3;"28";"14";"14-Cal";"NOR/14-Cal"
"163";"Cluses";"CLUSES";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";12;2;"84";"74";"74-HSv";"ARA/74-HSv"
"164";"Abbeville";"ABBEVILLE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";73;3;"32";"80";"80-Som";"HDF/80-Som"
"165";"Orange";"ORANGE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";10;3;"93";"84";"84-Vau";"PACA/84-Vau"
"166";"Agde";"AGDE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";6;2;"76";"34";"34-Hér";"OCC/34-Hér"
"167";"Albertville";"ALBERTVILLE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";30;2;"84";"73";"73-Sav";"ARA/73-Sav"
"168";"Oyonnax";"OYONNAX";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";40;2;"84";"01";"01-Ain";"ARA/01-Ain"
"169";"Vitré";"VITRE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";30;3;"53";"35";"35-IeV";"BRE/35-IeV"
"170";"Sarrebourg";"SARREBOURG";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";87;3;"44";"57";"57-Mos";"GES/57-Mos"
"171";"Flers";"FLERS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";38;3;"28";"61";"61-Orn";"NOR/61-Orn"
"172";"Fougères";"FOUGERES";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";26;3;"53";"35";"35-IeV";"BRE/35-IeV"
"173";"Les Herbiers";"LES HERBIERS";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";15;3;"52";"85";"85-Ven";"PDL/85-Ven"
"174";"Beaune";"BEAUNE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";64;3;"27";"21";"21-CdO";"BFC/21-CdO"
"175";"Marmande";"MARMANDE";2;"Aire de 50 000 à moins de 200 000 habitants";"AIRE DE 50 000 A MOINS DE 200 000 HABITANTS";21;"Aire de 50 000 à moins de 75 000 habitants";"AIRE DE 50 000 A MOINS DE 75 000 HABITANTS";48;3;"75";"47";"47-LeG";"NAQ/47-LeG"
