"ZE2020";"ZE2020lib";"NB_COM";"ZE2020libNCC";"dens3";"REG_dom";"DEP_dom";"DEPshort_dom";"regdep"
"2712";"Dole";123;"DOLE";3;"27";"39";"39-Jur";"BFC/39-Jur"
"2713";"Lons-le-Saunier";333;"LONS LE SAUNIER";3;"27";"39";"39-Jur";"BFC/39-Jur"
"2714";"Montbéliard";146;"MONTBELIARD";2;"27";"25";"25-Dou";"BFC/25-Dou"
"2715";"Pontarlier";174;"PONTARLIER";3;"27";"25";"25-Dou";"BFC/25-Dou"
"2716";"Saint-Claude";71;"SAINT CLAUDE";3;"27";"39";"39-Jur";"BFC/39-Jur"
"2717";"Sens";102;"SENS";3;"27";"89";"89-Yon";"BFC/89-Yon"
"2718";"Vesoul";336;"VESOUL";3;"27";"70";"70-HSa";"BFC/70-HSa"
"2801";"Argentan";73;"ARGENTAN";3;"28";"61";"61-Orn";"NOR/61-Orn"
"2802";"Avranches";101;"AVRANCHES";3;"28";"50";"50-Man";"NOR/50-Man"
"2803";"Bernay";106;"BERNAY";3;"28";"27";"27-Eur";"NOR/27-Eur"
"2804";"Caen";378;"CAEN";2;"28";"14";"14-Cal";"NOR/14-Cal"
"2805";"Cherbourg-en-Cotentin";135;"CHERBOURG EN COTENTIN";3;"28";"50";"50-Man";"NOR/50-Man"
"2806";"Coutances";67;"COUTANCES";3;"28";"50";"50-Man";"NOR/50-Man"
"2807";"Dieppe-Caux maritime";196;"DIEPPE CAUX MARITIME";3;"28";"76";"76-SMa";"NOR/76-SMa"
"2808";"Évreux";167;"EVREUX";3;"28";"27";"27-Eur";"NOR/27-Eur"
"2809";"Flers";91;"FLERS";3;"28";"61";"61-Orn";"NOR/61-Orn"
"2810";"Granville";45;"GRANVILLE";3;"28";"50";"50-Man";"NOR/50-Man"
"2811";"Honfleur Pont-Audemer";119;"HONFLEUR PONT AUDEMER";3;"28";"27";"27-Eur";"NOR/27-Eur"
"2812";"L'Aigle";79;"L AIGLE";3;"28";"61";"61-Orn";"NOR/61-Orn"
"2813";"Le Havre";115;"LE HAVRE";1;"28";"76";"76-SMa";"NOR/76-SMa"
"2814";"Lisieux";93;"LISIEUX";3;"28";"14";"14-Cal";"NOR/14-Cal"
"2815";"Rouen";299;"ROUEN";2;"28";"76";"76-SMa";"NOR/76-SMa"
"2816";"Saint-Lô";104;"SAINT LO";3;"28";"50";"50-Man";"NOR/50-Man"
"2817";"Vernon-Gisors";110;"VERNON GISORS";3;"28";"27";"27-Eur";"NOR/27-Eur"
"2818";"Vire Normandie";21;"VIRE NORMANDIE";3;"28";"14";"14-Cal";"NOR/14-Cal"
"2819";"Yvetot-Vallée du Commerce";99;"YVETOT VALLEE DU COMMERCE";3;"28";"76";"76-SMa";"NOR/76-SMa"
"3201";"Abbeville";165;"ABBEVILLE";3;"32";"80";"80-Som";"HDF/80-Som"
"3202";"Amiens";455;"AMIENS";2;"32";"80";"80-Som";"HDF/80-Som"
"3203";"Arras";232;"ARRAS";2;"32";"62";"62-PdC";"HDF/62-PdC"
"3204";"Berck";201;"BERCK";3;"32";"62";"62-PdC";"HDF/62-PdC"
"3205";"Béthune";109;"BETHUNE";2;"32";"62";"62-PdC";"HDF/62-PdC"
"3206";"Boulogne-sur-Mer";92;"BOULOGNE SUR MER";2;"32";"62";"62-PdC";"HDF/62-PdC"
"3207";"Calais";51;"CALAIS";2;"32";"62";"62-PdC";"HDF/62-PdC"
